Дата,"Количество заболевших COVID-19, чел."
2020-07-14,5026611
2020-07-13,4963172
2020-07-12,4881445
2020-07-11,4792531
2020-07-10,4727179
2020-07-9,4639712
2020-07-8,4579060
2020-07-7,4551486
2020-07-6,4555616
2020-07-5,4482990
2020-07-4,4405410
2020-07-3,4361644
2020-07-2,4315907
2020-07-1,4342110
2020-06-30,4273808
2020-06-29,4235991
2020-06-28,4184251
2020-06-27,4119943
2020-06-26,4049028
2020-06-25,3957385
2020-06-24,3867092
2020-06-23,3829910
2020-06-22,3792177
2020-06-21,3735352
2020-06-20,3708835
2020-06-19,3668792
2020-06-18,3605341
2020-06-17,3566781
2020-06-16,3503249
2020-06-15,3473090
2020-06-14,3442661
2020-06-13,3401811
2020-06-12,3377980
2020-06-11,3326830
2020-06-10,3298960
2020-06-9,3299794
2020-06-8,3249983
2020-06-7,3220571
2020-06-6,3159098
2020-06-5,3110817
2020-06-4,3058285
2020-06-3,3014629
2020-06-2,3051842
2020-06-1,3085626
2020-05-31,3041569
2020-05-30,3045430
2020-05-29,3003852
2020-05-28,2962108
2020-05-27,2932810
2020-05-26,2898360
2020-05-25,2873670
2020-05-24,2848882
2020-05-23,2809457
2020-05-22,2802400
2020-05-21,2777306
2020-05-20,2733293
2020-05-19,2702022
2020-05-18,2662898
2020-05-17,2626180
2020-05-16,2593947
2020-05-15,2556611
2020-05-14,2556611
2020-05-13,2556611
2020-05-12,2447286
2020-05-11,2438179
2020-05-10,2403976
2020-05-9,2381849
2020-05-8,2350943
2020-05-7,2302196
2020-05-6,2253284
2020-05-5,2225786
2020-05-4,2196292
2020-05-3,2161696
2020-05-2,2115778
2020-05-1,2078571
2020-04-30,2031338
2020-04-29,1990120
2020-04-28,1965386
2020-04-27,1929746
2020-04-26,1908936
2020-04-25,1879628
2020-04-24,1833356
2020-04-23,1784861
2020-04-22,1731657
2020-04-21,1688075
2020-04-20,1663778
2020-04-19,1616446
2020-04-18,1574239
2020-04-17,1523145
2020-04-16,1469773
2020-04-15,1437736
2020-04-14,1392708
2020-04-13,1359608
2020-04-12,1314769
2020-04-11,1268354
2020-04-10,1219940
2020-04-9,1151573
2020-04-8,1099309
2020-04-7,1049377
2020-04-6,992848
2020-04-5,938870
2020-04-4,890326
2020-04-3,828899
2020-04-2,749879
2020-04-1,694016
2020-03-31,637929
2020-03-30,581578
2020-03-29,538013
2020-03-28,490639
2020-03-27,435178
2020-03-26,383471
2020-03-25,332685
2020-03-24,291420
2020-03-23,263379
2020-03-22,224403
2020-03-21,199731
2020-03-20,173316
2020-03-19,147658
2020-03-18,122776
2020-03-17,108357
2020-03-16,96360
2020-03-15,84980
2020-03-14,77658
2020-03-13,69550
2020-03-12,55308
2020-03-11,54257
2020-03-10,49954
2020-03-9,47108
2020-03-8,45325
2020-03-7,43931
2020-03-6,42476
2020-03-5,40742
2020-03-4,40696
2020-03-3,41452
2020-03-2,41619
2020-03-1,42657
2020-02-29,43288
2020-02-28,44529
2020-02-27,46655
2020-02-26,48234
2020-02-25,49793
2020-02-24,51705
2020-02-23,53095
2020-02-22,53228
2020-02-21,55678
2020-02-20,55773
2020-02-19,57396
2020-02-18,58777
2020-02-17,58807
2020-02-16,58589
2020-02-15,57969
2020-02-14,57304
2020-02-13,52702
2020-02-12,38953
2020-02-11,39006
2020-02-10,37803
2020-02-9,36000
2020-02-8,33698
2020-02-7,31661
2020-02-6,28673
2020-02-5,25947
2020-02-4,22548
2020-02-3,18832
2020-02-2,15953
2020-02-1,11495
2020-01-31,9492
2020-01-30,7920
2020-01-29,5907
2020-01-28,5340
2020-01-27,2784
2020-01-26,2010
2020-01-25,1353
2020-01-24,879
2020-01-23,606
2020-01-22,510
